symbol,current_price,sma_20,sma_50,sma_200,price_vs_sma20_pct,price_vs_sma50_pct,price_vs_sma200_pct,annualized_return_pct,volatility_pct,rsi_current,relative_strength_rating,value_signal,value_score,value_reasons,pe_estimate,roe_estimate,canslim_signal,canslim_score,canslim_reasons,technical_signal,technical_score,technical_reasons,final_signal,total_score,confidence_pct,market_direction,analysis_date,analyst_rating,analyst_score,analyst_count,enhanced_signal,enhanced_confidence
CMG,39.11,39.11,39.45,33.91,-1.3,-0.86,15.35,19.8618,38.0343,43.89,94.3,HOLD,0,Các chỉ số tài chính trung tính,15.0691,13.903259999999998,HOLD,3,Volatility cao: Hoạt động mạnh; RS ≥80: Dẫn đầu,HOLD,1,RSI trung tính: Ổn định,HOLD,0.0,0.0,SIDEWAYS,2025-11-18 10:24:48,N/A,0,0,HOLD,0.0
BID,37.66,37.66,39.09,34.75,1.98,-3.66,8.38,11.5425,31.2323,62.04,50.9,HOLD,-1,ROE < 10%: Yếu,19.22875,8.07975,HOLD,0,Tín hiệu CANSLIM trung tính,HOLD,0,Tín hiệu kỹ thuật trung tính,HOLD,0.0,0.0,SIDEWAYS,2025-11-18 10:24:48,N/A,0,0,HOLD,0.0
PHR,54.46,54.46,55.16,52.73,5.21,-1.27,3.28,4.7335,37.2727,66.02,18.3,HOLD,-1,ROE < 10%: Yếu,22.63325,3.31345,HOLD,0,Volatility cao: Hoạt động mạnh; RS ≤30: Tụt hậu,HOLD,1,Giá > SMA20 +5%: Mạnh,HOLD,0.0,0.0,SIDEWAYS,2025-11-18 10:24:48,N/A,0,0,HOLD,0.0
OCB,12.62,12.62,12.81,11.6,-2.1,-1.48,8.8,12.0727,32.8265,38.98,54.6,HOLD,-1,ROE < 10%: Yếu,18.96365,8.45089,HOLD,0,Tín hiệu CANSLIM trung tính,HOLD,0,Tín hiệu kỹ thuật trung tính,HOLD,0.0,0.0,SIDEWAYS,2025-11-18 10:24:48,N/A,0,0,HOLD,0.0
BVH,51.36,51.36,53.04,50.25,5.34,-3.17,2.22,3.2383,31.6086,70.64,15.7,HOLD,-1,ROE < 10%: Yếu,23.38085,2.26681,HOLD,-1,RS ≤30: Tụt hậu,HOLD,-1,RSI > 70: Quá mua; Giá > SMA20 +5%: Mạnh,HOLD,0.0,0.0,SIDEWAYS,2025-11-18 10:24:48,N/A,0,0,HOLD,0.0
CII,24.67,24.67,25.14,22.2,7.63,-1.87,11.13,14.948,48.345,57.08,74.8,HOLD,0,Các chỉ số tài chính trung tính,17.526,10.4636,HOLD,1,Volatility cao: Hoạt động mạnh,HOLD,2,RSI trung tính: Ổn định; Giá > SMA20 +5%: Mạnh,HOLD,0.0,0.0,SIDEWAYS,2025-11-18 10:24:48,N/A,0,0,HOLD,0.0
TPB,16.97,16.97,17.8,14.86,1.04,-4.66,14.23,18.5964,34.6631,50.77,92.3,HOLD,0,Các chỉ số tài chính trung tính,15.7018,13.01748,HOLD,2,RS ≥80: Dẫn đầu,HOLD,1,RSI trung tính: Ổn định,HOLD,0.0,0.0,SIDEWAYS,2025-11-18 10:24:48,N/A,0,0,HOLD,0.0
DIG,20.74,20.74,21.56,18.73,2.94,-3.8,10.71,14.4417,55.7153,52.56,71.3,HOLD,-1,Volatility cao: Rủi ro,17.77915,10.10919,HOLD,1,Volatility cao: Hoạt động mạnh,HOLD,1,RSI trung tính: Ổn định,HOLD,0.0,0.0,SIDEWAYS,2025-11-18 10:24:48,N/A,0,0,HOLD,0.0
IJC,12.18,12.18,12.87,11.03,2.59,-5.36,10.44,14.1111,44.965,58.0,68.9,HOLD,-1,ROE < 10%: Yếu,17.94445,9.87777,HOLD,1,Volatility cao: Hoạt động mạnh,HOLD,1,RSI trung tính: Ổn định,HOLD,0.0,0.0,SIDEWAYS,2025-11-18 10:24:48,N/A,0,0,HOLD,0.0
HPG,26.62,26.62,27.9,23.83,2.56,-4.59,11.72,15.6548,34.3228,54.81,79.8,HOLD,0,Các chỉ số tài chính trung tính,17.1726,10.95836,HOLD,0,Tín hiệu CANSLIM trung tính,HOLD,1,RSI trung tính: Ổn định,HOLD,0.0,0.0,SIDEWAYS,2025-11-18 10:24:48,N/A,0,0,HOLD,0.0
GAS,60.9,60.9,61.03,58.54,3.44,-0.21,4.02,5.7717,29.7548,62.71,20.3,HOLD,0,ROE < 10%: Yếu; Volatility thấp: Ổn định,22.11415,4.04019,HOLD,-1,RS ≤30: Tụt hậu,HOLD,0,Tín hiệu kỹ thuật trung tính,HOLD,0.0,0.0,SIDEWAYS,2025-11-18 10:24:48,N/A,0,0,HOLD,0.0
HT1,16.88,16.88,17.39,16.43,-3.76,-2.93,2.75,3.9985,38.3867,34.55,17.0,HOLD,-1,ROE < 10%: Yếu,23.00075,2.7989499999999996,HOLD,0,Volatility cao: Hoạt động mạnh; RS ≤30: Tụt hậu,HOLD,0,Tín hiệu kỹ thuật trung tính,HOLD,0.0,0.0,SIDEWAYS,2025-11-18 10:24:48,N/A,0,0,HOLD,0.0
IMP,49.08,49.08,51.21,43.18,-1.58,-4.16,13.67,17.9454,30.9874,45.96,91.3,HOLD,0,Các chỉ số tài chính trung tính,16.0273,12.56178,HOLD,2,RS ≥80: Dẫn đầu,HOLD,1,RSI trung tính: Ổn định,HOLD,0.0,0.0,SIDEWAYS,2025-11-18 10:24:48,N/A,0,0,HOLD,0.0
ACB,25.19,25.19,25.71,21.93,-0.15,-2.02,14.85,19.2938,27.3927,46.27,93.4,HOLD,1,Volatility thấp: Ổn định,15.3531,13.50566,HOLD,2,RS ≥80: Dẫn đầu,HOLD,1,RSI trung tính: Ổn định,HOLD,0.0,0.0,SIDEWAYS,2025-11-18 10:24:48,N/A,0,0,HOLD,0.0
MSN,78.65,78.65,81.41,78.31,1.34,-3.39,0.43,0.6398,35.6896,52.1,11.1,HOLD,-1,ROE < 10%: Yếu,24.6801,0.44786,HOLD,0,Volatility cao: Hoạt động mạnh; RS ≤30: Tụt hậu,HOLD,1,RSI trung tính: Ổn định,HOLD,0.0,0.0,SIDEWAYS,2025-11-18 10:24:48,N/A,0,0,HOLD,0.0
GVR,27.56,27.56,27.64,24.94,5.57,-0.29,10.5,14.1825,45.3899,65.94,69.4,HOLD,-1,ROE < 10%: Yếu,17.90875,9.92775,HOLD,1,Volatility cao: Hoạt động mạnh,HOLD,1,Giá > SMA20 +5%: Mạnh,HOLD,0.0,0.0,SIDEWAYS,2025-11-18 10:24:48,N/A,0,0,HOLD,0.0
EIB,22.19,22.19,24.62,20.02,-0.19,-9.87,10.86,14.6215,39.8571,44.7,72.5,HOLD,0,Các chỉ số tài chính trung tính,17.68925,10.23505,HOLD,1,Volatility cao: Hoạt động mạnh,HOLD,1,RSI trung tính: Ổn định,HOLD,0.0,0.0,SIDEWAYS,2025-11-18 10:24:48,N/A,0,0,HOLD,0.0
CTG,49.36,49.36,50.59,42.97,-1.03,-2.43,14.88,19.3308,32.603,49.25,93.5,HOLD,0,Các chỉ số tài chính trung tính,15.3346,13.53156,HOLD,2,RS ≥80: Dẫn đầu,HOLD,1,RSI trung tính: Ổn định,HOLD,0.0,0.0,SIDEWAYS,2025-11-18 10:24:48,N/A,0,0,HOLD,0.0
VGC,44.93,44.93,49.94,38.73,4.61,-10.03,16.0,20.5914,46.2365,58.65,95.5,HOLD,2,P/E < 15: Hấp dẫn,13.82258,14.41398,HOLD,3,Volatility cao: Hoạt động mạnh; RS ≥80: Dẫn đầu,HOLD,1,RSI trung tính: Ổn định,HOLD,0.0,0.0,SIDEWAYS,2025-11-18 10:24:48,N/A,0,0,HOLD,0.0
VPI,54.76,54.76,56.15,47.66,-0.48,-2.48,14.89,19.3415,23.3766,44.23,93.5,HOLD,1,Volatility thấp: Ổn định,15.32925,13.53905,HOLD,2,RS ≥80: Dẫn đầu,HOLD,2,RSI trung tính: Ổn định; Volatility thấp: Xu hướng ổn định,HOLD,0.0,0.0,SIDEWAYS,2025-11-18 10:24:48,N/A,0,0,HOLD,0.0
BWE,47.71,47.71,48.1,41.52,-1.27,-0.81,14.9,19.3493,29.2873,41.38,93.5,HOLD,1,Volatility thấp: Ổn định,15.32535,13.54451,HOLD,2,RS ≥80: Dẫn đầu,HOLD,1,RSI trung tính: Ổn định,HOLD,0.0,0.0,SIDEWAYS,2025-11-18 10:24:48,N/A,0,0,HOLD,0.0
VJC,181.82,181.82,157.78,170.26,-1.55,15.24,6.79,9.4898,26.7788,38.61,39.9,HOLD,0,ROE < 10%: Yếu; Volatility thấp: Ổn định,20.2551,6.64286,HOLD,0,Tín hiệu CANSLIM trung tính,HOLD,1,Giá > MA50: Tích cực,HOLD,0.0,0.0,SIDEWAYS,2025-11-18 10:24:48,N/A,0,0,HOLD,0.0
SSB,17.58,17.58,18.67,16.06,-0.77,-5.84,9.43,12.8665,27.3427,44.83,60.2,HOLD,0,ROE < 10%: Yếu; Volatility thấp: Ổn định,18.56675,9.006549999999999,HOLD,0,Tín hiệu CANSLIM trung tính,HOLD,1,RSI trung tính: Ổn định,HOLD,0.0,0.0,SIDEWAYS,2025-11-18 10:24:48,N/A,0,0,HOLD,0.0
TLG,52.54,52.54,53.08,47.08,-1.23,-1.02,11.61,15.5219,32.8282,38.1,78.8,HOLD,0,Các chỉ số tài chính trung tính,17.23905,10.86533,HOLD,0,Tín hiệu CANSLIM trung tính,HOLD,0,Tín hiệu kỹ thuật trung tính,HOLD,0.0,0.0,SIDEWAYS,2025-11-18 10:24:48,N/A,0,0,HOLD,0.0
PC1,20.7,20.7,21.47,18.16,8.93,-3.59,13.98,18.3096,42.5995,78.8,91.9,HOLD,0,Các chỉ số tài chính trung tính,15.8452,12.816719999999998,HOLD,3,Volatility cao: Hoạt động mạnh; RS ≥80: Dẫn đầu,HOLD,-1,RSI > 70: Quá mua; Giá > SMA20 +5%: Mạnh,HOLD,0.0,0.0,SIDEWAYS,2025-11-18 10:24:48,N/A,0,0,HOLD,0.0
DXG,19.85,19.85,21.18,17.46,-1.0,-6.28,13.67,17.9459,50.7716,41.06,91.3,HOLD,-1,Volatility cao: Rủi ro,16.02705,12.56213,HOLD,3,Volatility cao: Hoạt động mạnh; RS ≥80: Dẫn đầu,HOLD,1,RSI trung tính: Ổn định,HOLD,0.0,0.0,SIDEWAYS,2025-11-18 10:24:48,N/A,0,0,HOLD,0.0
VSC,22.89,22.89,26.53,20.18,-0.62,-13.72,13.43,17.6766,40.6455,40.27,90.9,HOLD,0,Các chỉ số tài chính trung tính,16.1617,12.37362,HOLD,3,Volatility cao: Hoạt động mạnh; RS ≥80: Dẫn đầu,HOLD,1,RSI trung tính: Ổn định,HOLD,0.0,0.0,SIDEWAYS,2025-11-18 10:24:48,N/A,0,0,HOLD,0.0
MSB,12.22,12.22,12.93,11.39,1.51,-5.49,7.3,10.1485,33.7454,54.55,43.4,HOLD,-1,ROE < 10%: Yếu,19.92575,7.103949999999999,HOLD,0,Tín hiệu CANSLIM trung tính,HOLD,1,RSI trung tính: Ổn định,HOLD,0.0,0.0,SIDEWAYS,2025-11-18 10:24:48,N/A,0,0,HOLD,0.0
NTL,18.33,18.33,18.58,15.71,0.1,-1.35,16.68,21.3336,42.1711,53.41,96.7,HOLD,2,P/E < 15: Hấp dẫn,13.59992,14.93352,HOLD,3,Volatility cao: Hoạt động mạnh; RS ≥80: Dẫn đầu,HOLD,1,RSI trung tính: Ổn định,HOLD,0.0,0.0,SIDEWAYS,2025-11-18 10:24:48,N/A,0,0,HOLD,0.0
DBC,25.84,25.84,26.94,23.23,2.37,-4.08,11.25,15.0909,44.8524,56.07,75.8,HOLD,0,Các chỉ số tài chính trung tính,17.45455,10.56363,HOLD,1,Volatility cao: Hoạt động mạnh,HOLD,1,RSI trung tính: Ổn định,HOLD,0.0,0.0,SIDEWAYS,2025-11-18 10:24:48,N/A,0,0,HOLD,0.0
BCM,66.65,66.65,66.81,60.99,3.38,-0.24,9.28,12.6765,34.7405,61.32,58.9,HOLD,-1,ROE < 10%: Yếu,18.66175,8.87355,HOLD,0,Tín hiệu CANSLIM trung tính,HOLD,0,Tín hiệu kỹ thuật trung tính,HOLD,0.0,0.0,SIDEWAYS,2025-11-18 10:24:48,N/A,0,0,HOLD,0.0
VIB,18.6,18.6,19.59,16.16,0.54,-5.05,15.11,19.5975,32.7785,41.67,93.9,HOLD,0,Các chỉ số tài chính trung tính,15.20125,13.71825,HOLD,2,RS ≥80: Dẫn đầu,HOLD,1,RSI trung tính: Ổn định,HOLD,0.0,0.0,SIDEWAYS,2025-11-18 10:24:48,N/A,0,0,HOLD,0.0
THG,50.3,50.3,51.28,44.93,-3.28,-1.91,11.95,15.9272,29.4369,26.88,81.7,HOLD,1,Volatility thấp: Ổn định,17.0364,11.14904,HOLD,2,RS ≥80: Dẫn đầu,HOLD,2,RSI < 30: Quá bán,HOLD,0.0,0.0,SIDEWAYS,2025-11-18 10:24:48,N/A,0,0,HOLD,0.0
PVT,17.6,17.6,17.86,15.37,6.22,-1.46,14.48,18.8793,39.8475,67.95,92.8,HOLD,0,Các chỉ số tài chính trung tính,15.56035,13.21551,HOLD,3,Volatility cao: Hoạt động mạnh; RS ≥80: Dẫn đầu,HOLD,1,Giá > SMA20 +5%: Mạnh,HOLD,0.0,0.0,SIDEWAYS,2025-11-18 10:24:48,N/A,0,0,HOLD,0.0
VTP,109.59,109.59,103.04,102.79,-4.37,6.36,6.62,9.263,41.6523,32.39,38.7,HOLD,-1,ROE < 10%: Yếu,20.3685,6.4841,HOLD,1,Volatility cao: Hoạt động mạnh,HOLD,2,Giá > MA50 > MA200: Xu hướng tăng mạnh,HOLD,0.0,0.0,SIDEWAYS,2025-11-18 10:24:48,N/A,0,0,HOLD,0.0
IDV,26.46,26.46,26.51,26.29,0.17,-0.19,0.65,0.9682,32.2856,46.43,11.7,HOLD,-1,ROE < 10%: Yếu,24.5159,0.6777399999999999,HOLD,-1,RS ≤30: Tụt hậu,HOLD,1,RSI trung tính: Ổn định,HOLD,0.0,0.0,SIDEWAYS,2025-11-18 10:24:48,N/A,0,0,HOLD,0.0
POW,14.18,14.18,14.51,13.22,7.88,-2.27,7.28,10.1313,36.6861,73.02,43.3,HOLD,-1,ROE < 10%: Yếu,19.93435,7.0919099999999995,HOLD,1,Volatility cao: Hoạt động mạnh,HOLD,-1,RSI > 70: Quá mua; Giá > SMA20 +5%: Mạnh,HOLD,0.0,0.0,SIDEWAYS,2025-11-18 10:24:48,N/A,0,0,HOLD,0.0
SZC,30.68,30.68,32.58,27.62,6.41,-5.83,11.07,14.8732,44.2989,71.43,74.3,HOLD,0,Các chỉ số tài chính trung tính,17.5634,10.41124,HOLD,1,Volatility cao: Hoạt động mạnh,HOLD,-1,RSI > 70: Quá mua; Giá > SMA20 +5%: Mạnh,HOLD,0.0,0.0,SIDEWAYS,2025-11-18 10:24:48,N/A,0,0,HOLD,0.0
FMC,36.27,36.27,36.67,34.39,1.19,-1.09,5.48,7.7567,32.4987,63.64,30.8,HOLD,-1,ROE < 10%: Yếu,21.12165,5.42969,HOLD,0,Tín hiệu CANSLIM trung tính,HOLD,0,Tín hiệu kỹ thuật trung tính,HOLD,0.0,0.0,SIDEWAYS,2025-11-18 10:24:48,N/A,0,0,HOLD,0.0
HSG,16.84,16.84,18.18,16.08,2.14,-7.37,4.76,6.778,45.7873,60.0,25.6,HOLD,-1,ROE < 10%: Yếu,21.611,4.744599999999999,HOLD,0,Volatility cao: Hoạt động mạnh; RS ≤30: Tụt hậu,HOLD,1,RSI trung tính: Ổn định,HOLD,0.0,0.0,SIDEWAYS,2025-11-18 10:24:48,N/A,0,0,HOLD,0.0
BVB,13.4,13.4,14.03,12.57,2.28,-4.49,6.6,9.2415,39.5585,57.14,38.6,HOLD,-1,ROE < 10%: Yếu,20.37925,6.46905,HOLD,1,Volatility cao: Hoạt động mạnh,HOLD,1,RSI trung tính: Ổn định,HOLD,0.0,0.0,SIDEWAYS,2025-11-18 10:24:48,N/A,0,0,HOLD,0.0
PDR,22.51,22.51,23.33,21.99,2.42,-3.51,2.38,3.4728,42.6669,50.29,16.1,HOLD,-1,ROE < 10%: Yếu,23.2636,2.43096,HOLD,0,Volatility cao: Hoạt động mạnh; RS ≤30: Tụt hậu,HOLD,1,RSI trung tính: Ổn định,HOLD,0.0,0.0,SIDEWAYS,2025-11-18 10:24:48,N/A,0,0,HOLD,0.0
VHM,100.81,100.81,104.36,93.39,-5.76,-3.4,7.94,10.9834,33.5629,32.04,47.8,HOLD,-1,ROE < 10%: Yếu,19.5083,7.68838,HOLD,0,Tín hiệu CANSLIM trung tính,HOLD,-1,Giá < SMA20 -5%: Yếu,HOLD,0.0,0.0,SIDEWAYS,2025-11-18 10:24:48,N/A,0,0,HOLD,0.0
VCB,59.77,59.77,61.78,55.59,0.73,-3.25,7.52,10.4377,24.8292,51.43,44.9,HOLD,0,ROE < 10%: Yếu; Volatility thấp: Ổn định,19.78115,7.30639,HOLD,0,Tín hiệu CANSLIM trung tính,HOLD,2,RSI trung tính: Ổn định; Volatility thấp: Xu hướng ổn định,HOLD,0.0,0.0,SIDEWAYS,2025-11-18 10:24:48,N/A,0,0,HOLD,0.0
KOS,38.9,38.9,39.07,35.54,0.39,-0.44,9.46,12.9038,14.2466,60.61,60.5,HOLD,0,ROE < 10%: Yếu; Volatility thấp: Ổn định,18.5481,9.03266,HOLD,0,Tín hiệu CANSLIM trung tính,HOLD,1,Volatility thấp: Xu hướng ổn định,HOLD,0.0,0.0,SIDEWAYS,2025-11-18 10:24:48,N/A,0,0,HOLD,0.0
TNG,18.76,18.76,18.98,16.1,6.59,-1.16,16.54,21.1796,51.3334,63.77,96.4,HOLD,1,P/E < 15: Hấp dẫn; Volatility cao: Rủi ro,13.64612,14.82572,HOLD,3,Volatility cao: Hoạt động mạnh; RS ≥80: Dẫn đầu,HOLD,1,Giá > SMA20 +5%: Mạnh,HOLD,0.0,0.0,SIDEWAYS,2025-11-18 10:24:48,N/A,0,0,HOLD,0.0
SHB,16.28,16.28,17.04,15.67,1.97,-4.46,3.89,5.584,35.3659,53.01,19.8,HOLD,-1,ROE < 10%: Yếu,22.208,3.9087999999999994,HOLD,0,Volatility cao: Hoạt động mạnh; RS ≤30: Tụt hậu,HOLD,1,RSI trung tính: Ổn định,HOLD,0.0,0.0,SIDEWAYS,2025-11-18 10:24:48,N/A,0,0,HOLD,0.0
PNJ,91.12,91.12,87.72,83.06,-1.45,3.88,9.71,13.209,30.1266,33.76,62.6,HOLD,-1,ROE < 10%: Yếu,18.3955,9.2463,HOLD,0,Tín hiệu CANSLIM trung tính,HOLD,2,Giá > MA50 > MA200: Xu hướng tăng mạnh,HOLD,0.0,0.0,SIDEWAYS,2025-11-18 10:24:48,N/A,0,0,HOLD,0.0
PAN,30.48,30.48,31.57,30.36,-4.68,-3.45,0.41,0.6072,38.2116,30.1,11.1,HOLD,-1,ROE < 10%: Yếu,24.6964,0.42504,HOLD,0,Volatility cao: Hoạt động mạnh; RS ≤30: Tụt hậu,HOLD,0,Tín hiệu kỹ thuật trung tính,HOLD,0.0,0.0,SIDEWAYS,2025-11-18 10:24:48,N/A,0,0,HOLD,0.0
VNM,58.24,58.24,58.87,60.26,6.64,-1.07,-3.36,-5.1837,22.575,74.74,5.5,HOLD,-1,P/E > 25: Đắt; ROE < 10%: Yếu; Volatility thấp: Ổn định,27.59185,3.628589999999999,SELL,-3,Return âm: Xấu; RS ≤30: Tụt hậu,HOLD,-2,RSI > 70: Quá mua; Giá > SMA20 +5%: Mạnh; Giá < MA50 < MA200: Xu hướng giảm; Volatility thấp: Xu hướng ổn định,HOLD,-1.5,37.5,SIDEWAYS,2025-11-18 10:24:48,N/A,0,0,HOLD,37.5
SAB,46.03,46.03,45.95,48.58,2.66,0.17,-5.25,-8.2636,25.0952,79.03,2.8,HOLD,-1,P/E > 25: Đắt; ROE < 10%: Yếu; Volatility thấp: Ổn định,29.1318,5.78452,SELL,-3,Return âm: Xấu; RS ≤30: Tụt hậu,HOLD,-1,RSI > 70: Quá mua; Giá > MA50: Tích cực,HOLD,-1.5,37.5,SIDEWAYS,2025-11-18 10:24:48,N/A,0,0,HOLD,37.5
VCG,24.89,24.89,26.33,24.91,-1.18,-5.47,-0.07,-0.1013,41.3113,37.5,9.9,SELL,-2,P/E > 25: Đắt; ROE < 10%: Yếu,25.05065,0.07091,HOLD,-2,Return âm: Xấu; Volatility cao: Hoạt động mạnh; RS ≤30: Tụt hậu,HOLD,0,Tín hiệu kỹ thuật trung tính,SELL,-2.0,50.0,SIDEWAYS,2025-11-18 10:24:48,N/A,0,0,SELL,50.0
AAA,7.9,7.9,8.04,8.08,1.88,-1.74,-2.25,-3.4348,39.2446,61.7,7.0,SELL,-2,P/E > 25: Đắt; ROE < 10%: Yếu,26.7174,2.40436,HOLD,-2,Return âm: Xấu; Volatility cao: Hoạt động mạnh; RS ≤30: Tụt hậu,HOLD,-2,Giá < MA50 < MA200: Xu hướng giảm,SELL,-2.0,50.0,SIDEWAYS,2025-11-18 10:24:48,N/A,0,0,SELL,50.0
EVF,12.6,12.6,13.16,12.72,-1.17,-4.26,-0.92,-1.3924,42.2493,42.11,8.8,SELL,-2,P/E > 25: Đắt; ROE < 10%: Yếu,25.6962,0.97468,HOLD,-2,Return âm: Xấu; Volatility cao: Hoạt động mạnh; RS ≤30: Tụt hậu,HOLD,1,RSI trung tính: Ổn định,SELL,-2.0,50.0,SIDEWAYS,2025-11-18 10:24:48,N/A,0,0,SELL,50.0
DXS,10.32,10.32,11.64,11.18,-1.19,-11.34,-7.68,-12.419,49.2224,42.61,1.0,SELL,-2,P/E > 25: Đắt; ROE < 10%: Yếu,31.2095,8.693299999999999,HOLD,-2,Return âm: Xấu; Volatility cao: Hoạt động mạnh; RS ≤30: Tụt hậu,HOLD,1,RSI trung tính: Ổn định,SELL,-2.0,50.0,SIDEWAYS,2025-11-18 10:24:48,N/A,0,0,SELL,50.0
GIL,15.47,15.47,16.73,15.71,2.15,-7.53,-1.54,-2.3419,47.1816,52.05,7.9,SELL,-2,P/E > 25: Đắt; ROE < 10%: Yếu,26.17095,1.6393299999999995,HOLD,-2,Return âm: Xấu; Volatility cao: Hoạt động mạnh; RS ≤30: Tụt hậu,HOLD,1,RSI trung tính: Ổn định,SELL,-2.0,50.0,SIDEWAYS,2025-11-18 10:24:48,N/A,0,0,SELL,50.0
HHV,14.24,14.24,14.97,15.06,1.09,-4.88,-5.42,-8.5497,41.8668,47.73,2.5,SELL,-2,P/E > 25: Đắt; ROE < 10%: Yếu,29.27485,5.984789999999999,HOLD,-2,Return âm: Xấu; Volatility cao: Hoạt động mạnh; RS ≤30: Tụt hậu,HOLD,-1,RSI trung tính: Ổn định; Giá < MA50 < MA200: Xu hướng giảm,SELL,-2.0,50.0,SIDEWAYS,2025-11-18 10:24:48,N/A,0,0,SELL,50.0
DSE,25.16,25.16,27.34,26.2,1.95,-7.97,-3.96,-6.1532,36.0564,46.9,4.6,SELL,-2,P/E > 25: Đắt; ROE < 10%: Yếu,28.0766,4.307239999999999,HOLD,-2,Return âm: Xấu; Volatility cao: Hoạt động mạnh; RS ≤30: Tụt hậu,HOLD,1,RSI trung tính: Ổn định,SELL,-2.0,50.0,SIDEWAYS,2025-11-18 10:24:48,N/A,0,0,SELL,50.0
PPC,10.36,10.36,10.56,10.64,2.8,-1.89,-2.64,-4.047,25.5337,77.78,6.5,HOLD,-1,P/E > 25: Đắt; ROE < 10%: Yếu; Volatility thấp: Ổn định,27.0235,2.8328999999999995,SELL,-3,Return âm: Xấu; RS ≤30: Tụt hậu,SELL,-4,RSI > 70: Quá mua; Giá < MA50 < MA200: Xu hướng giảm,SELL,-2.5,62.5,SIDEWAYS,2025-11-18 10:24:48,N/A,0,0,SELL,62.5
PLX,34.29,34.29,34.46,35.15,1.2,-0.49,-2.45,-3.7487,30.527,57.65,6.7,SELL,-2,P/E > 25: Đắt; ROE < 10%: Yếu,26.87435,2.62409,SELL,-3,Return âm: Xấu; RS ≤30: Tụt hậu,HOLD,-1,RSI trung tính: Ổn định; Giá < MA50 < MA200: Xu hướng giảm,SELL,-3.5,87.5,SIDEWAYS,2025-11-18 10:24:48,N/A,0,0,SELL,87.5
VCS,46.74,46.74,48.05,47.57,0.99,-2.73,-1.74,-2.6449,33.5801,50.0,7.7,SELL,-2,P/E > 25: Đắt; ROE < 10%: Yếu,26.32245,1.8514299999999997,SELL,-3,Return âm: Xấu; RS ≤30: Tụt hậu,HOLD,1,RSI trung tính: Ổn định,SELL,-3.5,87.5,SIDEWAYS,2025-11-18 10:24:48,N/A,0,0,SELL,87.5
